prob_0,prob_1,prob_2,prob_3,prob_4,prob_5,prob_0.1,prob_1.1,prob_2.1,prob_3.1,prob_4.1,prob_5.1
0.9999881982803344,2.6980728762282524e-08,9.972003691544053e-13,7.481025798838913e-10,2.2844056507542728e-11,1.174704266304616e-05,0.1146149337291717,0.0049710217863321,0.0002828150463756,0.0079476125538349,9.403667354490608e-05,0.8720895648002625
3.569975035588868e-07,1.43743307035038e-06,5.31961864694893e-14,2.680158317502901e-10,3.765692618840077e-11,0.9999982118606568,0.001258130883798,0.0012667597038671,0.000134961461299,0.0002042847918346,0.0003455085097812,0.99679034948349
2.5611581744300342e-09,3.974795159678024e-09,1.147402284296106e-09,3.107179236128132e-10,1.0,1.5200566361173171e-09,0.006031303666532,0.003878247924149,0.0121621284633874,0.0026375080924481,0.973926305770874,0.001364498748444
0.0004970419686287,3.4043926011584347e-10,3.3112033080706654e-13,1.407154809340838e-10,0.9452708959579468,0.0542320683598518,0.0356011390686035,0.0019772050436586,0.003281325334683,0.0019157463684678,0.5008848309516907,0.4563397169113159
6.097657379022792e-10,0.0221360027790069,0.9764557480812072,0.0014082319103181,1.6487952114729863e-09,1.984731129445194e-10,0.001558466698043,0.4668010175228119,0.2959896624088287,0.2346046268939972,0.0005599101423285,0.0004863158392254
2.254517683653034e-09,0.9999364018440248,2.8345262335222055e-12,7.593446010867311e-11,1.1889559432473606e-12,6.359898543450981e-05,0.0004817082954104,0.9732733964920044,0.0018292547902092,0.0006512996624223,0.000205048956559,0.0235592741519212
2.9624660058402696e-08,0.9999986886978148,9.487109196015808e-07,3.295176327355876e-07,7.772139598571924e-10,1.034098029428776e-09,0.2096544206142425,0.2184793651103973,0.1952839493751526,0.3494385480880737,0.0169080384075641,0.0102356765419244
3.1832489422178867e-10,0.9999999403953552,1.6611850783831983e-11,1.190564313802156e-09,2.595997689817248e-13,8.34187332543479e-08,0.0003548039530869,0.9711191058158876,0.0113586904481053,0.0010153916664421,0.0007319264695979,0.0154200615361332
4.370267106423853e-06,0.750451385974884,6.410775910126176e-08,0.2495386898517608,9.761212949044307e-10,5.487785529112443e-06,0.0005448330193758,0.8655790090560913,0.1161812618374824,0.0167528055608272,0.0002192343381466,0.0007228305912576
1.0,5.462588714699734e-12,3.364855588324449e-16,5.590869347343874e-12,9.730569486016832e-14,2.981465551873952e-12,0.9900407195091248,0.0010113978059962,0.0001598817761987,0.0022831000387668,0.0001365450007142,0.0063683716580271
1.0,2.6145585696468743e-10,2.6827748430700758e-15,5.884590592586392e-09,6.482488157377729e-13,3.442157149591285e-12,0.9975556135177612,6.263382965698838e-05,6.278470391407609e-05,0.0019397416617721,0.0001306640479015,0.0002485350996721
2.3919985436826607e-10,4.065194361690949e-14,1.1743717435140633e-13,1.0,2.672457388849456e-14,2.528217706802144e-13,0.1641300767660141,0.000393630034523,0.0031050348188728,0.8302768468856812,0.0005746681126765,0.0015197379980236
1.0,6.106530212046657e-12,9.748872173941105e-14,3.676140121477989e-12,8.117097272108964e-11,2.273715070388871e-11,0.9926173090934752,0.000181532537681,0.0001132812030846,0.001689949305728,0.0002097702526953,0.0051881312392652
6.802321900201136e-11,6.7611920506749365e-09,0.9983609318733216,0.0016389418160542,1.1445230541085041e-07,4.77871131554508e-10,0.0015267307171598,0.0010321040172129,0.036647230386734,0.9568071365356444,0.0005720403860323,0.0034147438127547
9.860703562274836e-14,4.6595477476429885e-11,1.0,1.5981692358391086e-10,2.0553660107225372e-08,4.4014106053390244e-13,0.0002178840222768,0.0070071020163595,0.9858925938606262,0.0027485159225761,0.0039636609144508,0.000170222876477
9.292038167553475e-14,2.2058999071816743e-10,1.0,9.82695088497243e-12,8.181393340578325e-10,7.315999748288421e-15,0.0005533899529837,0.0011890821624547,0.0109813911840319,0.0008558542467653,0.9862998127937316,0.0001204444342874
1.8075059671218696e-08,4.6792270040896256e-06,2.0049774340780147e-10,0.0006719717057421,8.774109216957982e-10,0.999323308467865,0.0176581405103206,0.0148253720253705,0.0007462709909304,0.0297189448028802,0.0001467033434892,0.9369045495986938
6.000328767186147e-08,2.8785174656202617e-13,1.7952112507050452e-13,0.9999995827674866,1.0094323814324737e-11,3.415679543650185e-07,0.0351959131658077,0.0006629294366575,0.001992977457121,0.9551854133605956,0.0004625794827006,0.0065002054907381
1.571878405215443e-09,3.129702172335186e-13,4.899318797879637e-13,1.0,5.6833928703666984e-14,3.7711177930388467e-11,0.0054696127772331,0.0003386486787348,0.0008601405424997,0.9924907684326172,4.802783587365411e-05,0.0007927927072159
4.540457454460522e-10,0.0004645291774068,0.999232530593872,6.55762597001619e-11,0.0003029250656254,7.624403192130201e-11,0.0010533144231885,0.5162688493728638,0.452568918466568,0.0019248580792918,0.0275054015219211,0.000678651034832
5.229593980082824e-10,0.9999980330467224,1.928375468196464e-06,3.687022215315139e-11,9.327539435277643e-11,6.341786473740285e-08,0.0008125371532514,0.4528399109840393,0.0388827659189701,0.0022244576830416,0.0042071999050676,0.5010331273078918
1.0,2.9627935846897324e-13,4.522479370771344e-16,3.410241186663221e-11,5.614263123409485e-14,1.8664616293490037e-12,0.9977201223373412,0.0001373582927044,4.494052700465545e-05,0.0011848449939861,5.1086171879433095e-05,0.0008616347331553
0.1118396818637847,0.0597861185669899,1.094252795041939e-07,0.0301134027540683,6.872712621230903e-09,0.7982606887817383,0.0144222052767872,0.0312959291040897,0.020032100379467,0.1589120775461197,0.0028188596479594,0.7725188136100769
6.828482735716157e-15,4.1886600854468277e-08,0.9999999403953552,2.6527395835529433e-09,7.840397168307199e-13,7.127245571069557e-14,0.0001965137053048,0.961002767086029,0.0366446413099765,0.00107747328002,0.0003426504263188,0.0007359466981142
1.6140102587769432e-09,1.2787062207697542e-11,2.5129477491947494e-12,1.0530790649221355e-11,1.0,1.581015207641201e-09,0.0002440553653286,0.0008849512669257,0.0116111673414707,0.0005230769747868,0.986369013786316,0.0003677518398035
7.469306062546366e-09,8.291721198538936e-10,0.5225641131401062,0.4774358868598938,3.997091990726176e-09,6.60346499703479e-11,0.000538396066986,0.010169262997806,0.9644312262535096,0.0236696377396583,0.0009693740867078,0.0002221040194854
3.672815607203006e-09,2.9759683002339443e-06,0.9999791979789734,2.8770507753961283e-08,1.77760830410989e-05,7.89659670985543e-10,0.0184370223432779,0.0323080569505691,0.1528583317995071,0.0252038855105638,0.765758216381073,0.0054344576783478
1.8802808199325227e-09,3.1848508115217555e-06,0.9982061386108398,8.026091080637343e-08,0.0017906093271449,4.2144393530563207e-10,0.0006229245918802,0.0186195634305477,0.5924499034881592,0.0024872405920177,0.3855132460594177,0.0003071094397455
2.7039595562605706e-10,6.917545761098154e-06,2.683889590571198e-07,0.9999927878379822,5.791311180614045e-11,1.7050081832503672e-11,0.0013406258076429,0.0056242323480546,0.0356122963130474,0.9567340016365052,0.0001625539152882,0.0005262912600301
