id,label,prob_0,prob_1,prob_2,prob_3,prob_4,prob_5
TEST_0000,1,0.13754262030124664,0.28849920630455017,0.135111466050148,0.13550427556037903,0.172564297914505,0.13077811896800995
TEST_0001,5,0.08302973210811615,0.20333309471607208,0.21153220534324646,0.13835273683071136,0.1293601095676422,0.23439212143421173
TEST_0002,4,0.26037877798080444,0.08736663311719894,0.07486604899168015,0.07478614896535873,0.4364303946495056,0.06617198139429092
TEST_0003,4,0.20963992178440094,0.21076394617557526,0.09686097502708435,0.11070334911346436,0.2926428020000458,0.07938899844884872
TEST_0004,1,0.0659794807434082,0.4008607566356659,0.05432907119393349,0.06619633734226227,0.2142886072397232,0.19834575057029724
TEST_0005,2,0.045378219336271286,0.18073409795761108,0.2911066710948944,0.060990672558546066,0.2187999039888382,0.20299041271209717
TEST_0006,4,0.09048517048358917,0.08881476521492004,0.15397751331329346,0.04731389880180359,0.5359382629394531,0.08347038924694061
TEST_0007,2,0.18440324068069458,0.07539231330156326,0.271296888589859,0.23969122767448425,0.10585781186819077,0.12335852533578873
TEST_0008,2,0.07761069387197495,0.16325990855693817,0.31410181522369385,0.0615345761179924,0.20535926520824432,0.1781337410211563
TEST_0009,2,0.12813663482666016,0.15974019467830658,0.23429915308952332,0.14337360858917236,0.20140478014945984,0.13304564356803894
TEST_0010,2,0.09541472792625427,0.056437671184539795,0.4764120280742645,0.16462121903896332,0.11887028068304062,0.08824405819177628
TEST_0011,4,0.10699243098497391,0.0952223390340805,0.19234724342823029,0.06055823713541031,0.438386470079422,0.1064932569861412
TEST_0012,2,0.0659320205450058,0.06142956390976906,0.3988720774650574,0.06268765777349472,0.32349035143852234,0.08758831024169922
TEST_0013,1,0.10395858436822891,0.4659852683544159,0.033472925424575806,0.12832538783550262,0.11518725752830505,0.1530705690383911
TEST_0014,4,0.18014872074127197,0.17984691262245178,0.1317359060049057,0.14813092350959778,0.23966261744499207,0.1204749271273613
TEST_0015,4,0.18196667730808258,0.16820098459720612,0.145181342959404,0.1263723373413086,0.26523950695991516,0.11303913593292236
TEST_0016,1,0.19154754281044006,0.38091447949409485,0.04919597879052162,0.10631351172924042,0.15872381627559662,0.11330467462539673
TEST_0017,0,0.23823249340057373,0.1584552377462387,0.1168883666396141,0.21580088138580322,0.1252063363790512,0.14541667699813843
